"filename", "language", "JSON", "JSON with Comments", "Shell Script", "JavaScript", "Markdown", "TypeScript", "XML", "YAML", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"c:\Users\dell\Documents\AqwaValley\docs\ai-irrigation-plan.md", "Markdown", 0, 0, 0, 0, 723, 0, 0, 0, 0, 0, 0, 0, 193, 916
"c:\Users\dell\Documents\AqwaValley\docs\ingest-endpoints-and-cron.md", "Markdown", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 84, 270
"c:\Users\dell\Documents\AqwaValley\docs\irrigation-trigger-simulation-production-plan.md", "Markdown", 0, 0, 0, 0, 867, 0, 0, 0, 0, 0, 0, 0, 357, 1224
"c:\Users\dell\Documents\AqwaValley\docs\quota-service-runtime-behavior.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\dell\Documents\AqwaValley\docs\sensor-ingest-cycle.md", "Markdown", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 53, 218
"c:\Users\dell\Documents\AqwaValley\drizzle.config.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\dell\Documents\AqwaValley\drizzle\0000_conscious_gravity.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 22, 0, 350
"c:\Users\dell\Documents\AqwaValley\drizzle\0001_lively_stardust.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 0, 11
"c:\Users\dell\Documents\AqwaValley\drizzle\0002_quota_foundation.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 21, 0, 161
"c:\Users\dell\Documents\AqwaValley\drizzle\0003_panoramic_barracuda.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 0, 22
"c:\Users\dell\Documents\AqwaValley\drizzle\0004_irrigation_trigger_simulation.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 12, 116
"c:\Users\dell\Documents\AqwaValley\drizzle\0005_replay_diff_runtime.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\dell\Documents\AqwaValley\drizzle\0006_remarkable_killraven.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 4, 0, 118
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0000_snapshot.json", "JSON", 2642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2643
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0001_snapshot.json", "JSON", 2914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2914
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0003_snapshot.json", "JSON", 4085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4085
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0006_snapshot.json", "JSON", 5054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5054
