"filename", "language", "TypeScript", "JSON", "YAML", "MS SQL", "JavaScript", "Markdown", "TypeScript JSX", "HTML", "Log", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\.github\workflows\dispatch-emails-cron.yml", "YAML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 12, 8, 49
"c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 52
"c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 17
"c:\Users\dell\Documents\AqwaValley\__checks__\homepage.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"c:\Users\dell\Documents\AqwaValley\__checks__\url.check.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\dell\Documents\AqwaValley\checkly.config.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 27, 3, 69
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-engineering-spec.md", "Markdown", 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 81, 340
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-professional-plan.md", "Markdown", 0, 0, 0, 0, 0, 474, 0, 0, 0, 0, 175, 649
"c:\Users\dell\Documents\AqwaValley\drizzle\0007_groovy_run_discriminator.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\dell\Documents\AqwaValley\drizzle\0008_aquifer_forecast_foundation.sql", "MS SQL", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 21, 208
"c:\Users\dell\Documents\AqwaValley\drizzle\0009_aquifer_lineage_and_eligibility.sql", "MS SQL", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\Documents\AqwaValley\drizzle\0010_email_audit_provider_message_id_index.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\_journal.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dell\Documents\AqwaValley\next.config.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 12, 6, 31
"c:\Users\dell\Documents\AqwaValley\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\dell\Documents\AqwaValley\playwright.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\AqwaValley\pnpm-lock.yaml", "YAML", 0, 0, 3221, 0, 0, 0, 0, 0, 0, 0, 856, 4077
"c:\Users\dell\Documents\AqwaValley\scripts\env-loader.mjs", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
