"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Shell Script", "MS SQL", "YAML", "JavaScript", "Markdown", "TypeScript JSX", "XML", "PostCSS", "HTML", "Log", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\.github\workflows\dispatch-emails-cron.yml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 12, 8, 49
"c:\Users\dell\Documents\AqwaValley\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 12, 30
"c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 52
"c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 17
"c:\Users\dell\Documents\AqwaValley\__checks__\homepage.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"c:\Users\dell\Documents\AqwaValley\__checks__\url.check.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\dell\Documents\AqwaValley\checkly.config.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 3, 69
"c:\Users\dell\Documents\AqwaValley\docs\ai-irrigation-plan.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 723, 0, 0, 0, 0, 0, 0, 193, 916
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-engineering-spec.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 81, 340
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-professional-plan.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 474, 0, 0, 0, 0, 0, 0, 175, 649
"c:\Users\dell\Documents\AqwaValley\docs\ingest-endpoints-and-cron.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 84, 270
"c:\Users\dell\Documents\AqwaValley\docs\irrigation-trigger-simulation-production-plan.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 867, 0, 0, 0, 0, 0, 0, 357, 1224
"c:\Users\dell\Documents\AqwaValley\docs\quota-service-runtime-behavior.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\dell\Documents\AqwaValley\docs\sensor-ingest-cycle.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 53, 218
"c:\Users\dell\Documents\AqwaValley\drizzle.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\dell\Documents\AqwaValley\drizzle\0000_conscious_gravity.sql", "MS SQL", 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 350
"c:\Users\dell\Documents\AqwaValley\drizzle\0001_lively_stardust.sql", "MS SQL", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\dell\Documents\AqwaValley\drizzle\0002_quota_foundation.sql", "MS SQL", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 161
"c:\Users\dell\Documents\AqwaValley\drizzle\0003_panoramic_barracuda.sql", "MS SQL", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22
"c:\Users\dell\Documents\AqwaValley\drizzle\0004_irrigation_trigger_simulation.sql", "MS SQL", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 116
"c:\Users\dell\Documents\AqwaValley\drizzle\0005_replay_diff_runtime.sql", "MS SQL", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\dell\Documents\AqwaValley\drizzle\0006_remarkable_killraven.sql", "MS SQL", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 118
"c:\Users\dell\Documents\AqwaValley\drizzle\0007_groovy_run_discriminator.sql", "MS SQL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\dell\Documents\AqwaValley\drizzle\0008_aquifer_forecast_foundation.sql", "MS SQL", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 208
"c:\Users\dell\Documents\AqwaValley\drizzle\0009_aquifer_lineage_and_eligibility.sql", "MS SQL", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\Documents\AqwaValley\drizzle\0010_email_audit_provider_message_id_index.sql", "MS SQL", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0000_snapshot.json", "JSON", 0, 2642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2643
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0001_snapshot.json", "JSON", 0, 2914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2914
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0003_snapshot.json", "JSON", 0, 4085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4085
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0006_snapshot.json", "JSON", 0, 5054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5054
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\_journal.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\dell\Documents\AqwaValley\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 3, 62
"c:\Users\dell\Documents\AqwaValley\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 17, 9, 42
"c:\Users\dell\Documents\AqwaValley\package-lock.json", "JSON", 0, 9279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9280
"c:\Users\dell\Documents\AqwaValley\package.json", "JSON", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\dell\Documents\AqwaValley\playwright.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\AqwaValley\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 8007, 0, 0, 0, 0, 0, 0, 0, 0, 2082, 10089
"c:\Users\dell\Documents\AqwaValley\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\dell\Documents\AqwaValley\prettier.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\dell\Documents\AqwaValley\public\svg\alert-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\dell\Documents\AqwaValley\public\svg\map-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\dell\Documents\AqwaValley\public\svg\oasis-marker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\dell\Documents\AqwaValley\scripts\baseline-drizzle-migrations.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 98
"c:\Users\dell\Documents\AqwaValley\scripts\env-loader.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\dell\Documents\AqwaValley\scripts\inspect-api-key.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"c:\Users\dell\Documents\AqwaValley\scripts\mock-simulator.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 31, 229
"c:\Users\dell\Documents\AqwaValley\scripts\seed.ts", "TypeScript", 1102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 105, 1222
"c:\Users\dell\Documents\AqwaValley\scripts\setup-timescaledb.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\dell\Documents\AqwaValley\scripts\setup-timescaledb.sql", "MS SQL", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 65
"c:\Users\dell\Documents\AqwaValley\scripts\test-forecast-integration.ts", "TypeScript", 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51, 367
"c:\Users\dell\Documents\AqwaValley\scripts\test-irrigation-trigger-api.ts", "TypeScript", 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55, 388
"c:\Users\dell\Documents\AqwaValley\scripts\test-irrigation.ts", "TypeScript", 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 71, 604
"c:\Users\dell\Documents\AqwaValley\scripts\test-openrouter.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"c:\Users\dell\Documents\AqwaValley\scripts\test-replay-diff-wrapper.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 9, 44
"c:\Users\dell\Documents\AqwaValley\scripts\test-replay-diff.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 133
"c:\Users\dell\Documents\AqwaValley\scripts\test-user-provisioning.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 123
"c:\Users\dell\Documents\AqwaValley\scripts\verify-timescaledb.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774904850189.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774905198753.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774905551874.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry.edge.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 21
