"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "CSV", "PostCSS", "TypeScript JSX", "YAML", "MS SQL", "Log", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\.github\workflows\dispatch-emails-cron.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -12, -8, -49
"c:\Users\dell\Documents\AqwaValley\.github\workflows\sync-qstash-cron.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 11, 54
"c:\Users\dell\Documents\AqwaValley\.reports\reports\b88835cc-b34e-4143-aacb-0e2145b41763\b88835cc-b34e-4143-aacb-0e2145b41763.csv", "CSV", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\AqwaValley\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 289
"c:\Users\dell\Documents\AqwaValley\PHASE1_TEST_SUMMARY.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 280
"c:\Users\dell\Documents\AqwaValley\README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"c:\Users\dell\Documents\AqwaValley\START_HERE.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 322
"c:\Users\dell\Documents\AqwaValley\TESTING_IMPLEMENTATION_ROADMAP.md", "Markdown", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 312
"c:\Users\dell\Documents\AqwaValley\TEST_EXECUTION_GUIDE.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 264
"c:\Users\dell\Documents\AqwaValley\__checks__\PATTERNS.md", "Markdown", 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 458
"c:\Users\dell\Documents\AqwaValley\__checks__\QUICKSTART.md", "Markdown", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 267
"c:\Users\dell\Documents\AqwaValley\__checks__\README.md", "Markdown", 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 486
"c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 16
"c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 27
"c:\Users\dell\Documents\AqwaValley\__checks__\homepage.spec.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 55
"c:\Users\dell\Documents\AqwaValley\__checks__\login.spec.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 29, 175
"c:\Users\dell\Documents\AqwaValley\__checks__\support\api-check.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 21, 184
"c:\Users\dell\Documents\AqwaValley\__checks__\support\assertions.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 123
"c:\Users\dell\Documents\AqwaValley\__checks__\support\base-page.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 128
"c:\Users\dell\Documents\AqwaValley\__checks__\support\env.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\dell\Documents\AqwaValley\__checks__\support\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dell\Documents\AqwaValley\__checks__\support\login-page.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 18, 121
"c:\Users\dell\Documents\AqwaValley\__checks__\support\login-scenario.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\dell\Documents\AqwaValley\__checks__\support\test-data.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 30, 195
"c:\Users\dell\Documents\AqwaValley\__checks__\url.check.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 31
"c:\Users\dell\Documents\AqwaValley\docs\report-generation-endpoints-api-contract.md", "Markdown", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 488
"c:\Users\dell\Documents\AqwaValley\docs\report-generation-export-engine-world-class-plan.md", "Markdown", 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 670
"c:\Users\dell\Documents\AqwaValley\docs\testing-strategy-world-class-plan.md", "Markdown", 0, 732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 1018
