Date : 2026-04-02 10:28:13
Directory : c:\Users\dell\Documents\AqwaValley
Total : 139 files,  37741 codes, 822 comments, 4756 blanks, all 43319 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          7 |     14,738 |          0 |          2 |     14,740 |
| Markdown       |         24 |      8,923 |          0 |      3,269 |     12,192 |
| TypeScript     |         58 |      4,968 |        687 |        876 |      6,531 |
| Log            |          1 |      4,380 |          0 |          1 |      4,381 |
| TypeScript JSX |         38 |      3,244 |        129 |        313 |      3,686 |
| YAML           |          4 |      1,131 |        -12 |        281 |      1,400 |
| MS SQL         |          3 |        313 |         19 |         11 |        343 |
| JavaScript     |          2 |         21 |         -3 |          0 |         18 |
| PostCSS        |          1 |         20 |          2 |          3 |         25 |
| CSV            |          1 |          3 |          0 |          0 |          3 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        139 |     37,741 |        822 |      4,756 |     43,319 |
| . (Files)                                                                                                                         |         11 |      9,112 |         -3 |        666 |      9,775 |
| .github                                                                                                                           |          2 |         14 |        -12 |          3 |          5 |
| .github\workflows                                                                                                                 |          2 |         14 |        -12 |          3 |          5 |
| .reports                                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| .reports\reports                                                                                                                  |          1 |          3 |          0 |          0 |          3 |
| .reports\reports\b88835cc-b34e-4143-aacb-0e2145b41763                                                                             |          1 |          3 |          0 |          0 |          3 |
| __checks__                                                                                                                        |         16 |      1,622 |        303 |        428 |      2,353 |
| __checks__ (Files)                                                                                                                |          8 |      1,090 |        110 |        315 |      1,515 |
| __checks__\support                                                                                                                |          8 |        532 |        193 |        113 |        838 |
| docs                                                                                                                              |          4 |      2,060 |          0 |        809 |      2,869 |
| drizzle                                                                                                                           |          5 |      7,131 |         19 |         10 |      7,160 |
| drizzle (Files)                                                                                                                   |          3 |        313 |         19 |         11 |        343 |
| drizzle\meta                                                                                                                      |          2 |      6,818 |          0 |         -1 |      6,817 |
| scripts                                                                                                                           |          6 |        617 |         14 |        112 |        743 |
| src                                                                                                                               |         78 |      6,934 |        501 |        924 |      8,359 |
| src (Files)                                                                                                                       |          1 |         14 |          0 |          0 |         14 |
| src\__tests__                                                                                                                     |          7 |      1,307 |        331 |        290 |      1,928 |
| src\__tests__\auth                                                                                                                |          1 |        274 |         88 |         65 |        427 |
| src\__tests__\fao56                                                                                                               |          1 |        141 |        103 |         43 |        287 |
