"filename", "language", "Markdown", "JSON", "Log", "MS SQL", "TypeScript", "Python", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
"c:\Users\dell\Documents\AqwaValley\PHASE1_TEST_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 12, 12
"c:\Users\dell\Documents\AqwaValley\TESTING_IMPLEMENTATION_ROADMAP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 39, 39
"c:\Users\dell\Documents\AqwaValley\TEST_EXECUTION_GUIDE.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 45, 48
"c:\Users\dell\Documents\AqwaValley\__checks__\PATTERNS.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dell\Documents\AqwaValley\__checks__\QUICKSTART.md", "Markdown", -4, 0, 0, 0, 0, 0, 0, 0, 12, 8
"c:\Users\dell\Documents\AqwaValley\__checks__\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 24, 31
"c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts", "TypeScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -3
"c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts", "TypeScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\dell\Documents\AqwaValley\__checks__\support\api-check.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\dell\Documents\AqwaValley\__checks__\support\base-page.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\dell\Documents\AqwaValley\__checks__\support\index.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\dell\Documents\AqwaValley\__checks__\support\login-page.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\AqwaValley\build-output.log", "Log", 0, 0, 66, 0, 0, 0, 0, 0, 26, 92
"c:\Users\dell\Documents\AqwaValley\drizzle\0013_audit_log_append_only.sql", "MS SQL", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\dell\Documents\AqwaValley\drizzle\0014_user_notification_preferences.sql", "MS SQL", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\_journal.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dell\Documents\AqwaValley\package.json", "JSON", 0, 103, 0, 0, 0, 0, 0, 0, 0, 103
"c:\Users\dell\Documents\AqwaValley\src\__tests__\ai\ai-contracts.test.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 2, 13, 102
"c:\Users\dell\Documents\AqwaValley\src\__tests__\email\email-notification-contracts.test.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 2, 11, 67
"c:\Users\dell\Documents\AqwaValley\src\__tests__\fao56\fao56-et0-calculation.test.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\AqwaValley\src\__tests__\forecast\forecast-plausibility-contract.test.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 2, 12, 72
