"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "Log", "MS SQL", "CSV", "JSON with Comments", "YAML", "XML", "Python", "Shell Script", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\.github\workflows\sync-qstash-cron.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\dell\Documents\AqwaValley\.reports\reports\b88835cc-b34e-4143-aacb-0e2145b41763\b88835cc-b34e-4143-aacb-0e2145b41763.csv", "CSV", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\AqwaValley\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 301
"c:\Users\dell\Documents\AqwaValley\PHASE1_TEST_SUMMARY.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 292
"c:\Users\dell\Documents\AqwaValley\README.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 50
"c:\Users\dell\Documents\AqwaValley\START_HERE.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 322
"c:\Users\dell\Documents\AqwaValley\TESTING_IMPLEMENTATION_ROADMAP.md", "Markdown", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 351
"c:\Users\dell\Documents\AqwaValley\TEST_EXECUTION_GUIDE.md", "Markdown", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 312
"c:\Users\dell\Documents\AqwaValley\__checks__\PATTERNS.md", "Markdown", 0, 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 466
"c:\Users\dell\Documents\AqwaValley\__checks__\QUICKSTART.md", "Markdown", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 275
"c:\Users\dell\Documents\AqwaValley\__checks__\README.md", "Markdown", 0, 382, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 517
"c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 5, 65
"c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 42
"c:\Users\dell\Documents\AqwaValley\__checks__\homepage.spec.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 69
"c:\Users\dell\Documents\AqwaValley\__checks__\login.spec.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 29, 175
"c:\Users\dell\Documents\AqwaValley\__checks__\support\api-check.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 21, 192
"c:\Users\dell\Documents\AqwaValley\__checks__\support\assertions.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 123
"c:\Users\dell\Documents\AqwaValley\__checks__\support\base-page.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 137
"c:\Users\dell\Documents\AqwaValley\__checks__\support\env.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\dell\Documents\AqwaValley\__checks__\support\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\dell\Documents\AqwaValley\__checks__\support\login-page.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 18, 124
"c:\Users\dell\Documents\AqwaValley\__checks__\support\login-scenario.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\dell\Documents\AqwaValley\__checks__\support\test-data.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 30, 195
"c:\Users\dell\Documents\AqwaValley\__checks__\url.check.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 49
"c:\Users\dell\Documents\AqwaValley\build-output.log", "Log", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 92
"c:\Users\dell\Documents\AqwaValley\checkly.config.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 3, 69
"c:\Users\dell\Documents\AqwaValley\docs\ai-irrigation-plan.md", "Markdown", 0, 723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 916
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-engineering-spec.md", "Markdown", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 340
"c:\Users\dell\Documents\AqwaValley\docs\aquifer-forecast-engine-professional-plan.md", "Markdown", 0, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 649
"c:\Users\dell\Documents\AqwaValley\docs\ingest-endpoints-and-cron.md", "Markdown", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 270
"c:\Users\dell\Documents\AqwaValley\docs\irrigation-trigger-simulation-production-plan.md", "Markdown", 0, 867, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 357, 1224
"c:\Users\dell\Documents\AqwaValley\docs\quota-service-runtime-behavior.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 139
"c:\Users\dell\Documents\AqwaValley\docs\report-generation-endpoints-api-contract.md", "Markdown", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 488
"c:\Users\dell\Documents\AqwaValley\docs\report-generation-export-engine-world-class-plan.md", "Markdown", 0, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 670
